SOURCE: ISic000309-1t.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.704249e+03  6.47e+01  0.1351  
Cl  K  1.373495e+02  4.56e+01  0.003113  
Ar  K  1.858194e+02  5.35e+01  0.002126  
K  K  5.295316e+02  4.37e+01  0.002854  
Ca  K  1.674364e+05  4.15e+02  0.4678  
Sc  K  2.495784e+02  9.90e+01  0.0004176  
Ti  K  1.592400e+02  3.48e+01  0.0001581  
V  K  2.790849e+01  2.49e+01  1.719e-05  
Cr  K  8.705986e+01  2.03e+01  3.312e-05  
Mn  K  1.707654e+02  2.33e+01  4.308e-05  
Fe  K  3.705652e+03  6.63e+01  0.0006185  
Co  K  3.516969e+01  2.50e+01  4.182e-06  
Ni  K  7.043597e+01  3.06e+01  9.728e-06  
Cu  K  5.712707e+02  3.25e+01  0.0001049  
Zn  K  2.848937e+02  2.91e+01  4.469e-05  
As  K  2.252000e+02  8.38e+01  6.575e-05  
Rb  K  5.967086e+02  8.44e+01  9.289e-05  
Sr  K  1.172382e+04  1.52e+02  0.001681  
Y  K  3.829010e+02  9.72e+01  5.152e-05  
Zr  K  5.630405e+02  1.14e+02  7.267e-05  
Rh  K  1.805138e+04  4.11e+03  0.003944  
Rh  L  4.090910e+00  7.19e+01  5.664e-05  
Pd  K  1.042582e+04  5.96e+02  0.002491  
Pd  L  5.242881e+02  8.54e+01  0.005695  
Sn  K  9.141589e+02  1.12e+02  0.0003897  
Ba  L  2.850603e+01  5.22e+01  3.305e-05  
Au  L  2.822952e+02  6.56e+01  8.989e-05  
Hg  L  8.178237e+02  7.57e+01  0.0002407  
Pb  L  1.078076e+03  1.43e+02  0.0002767  

SOURCE: ISic000309-2t.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.429343e+03  6.24e+01  0.1215  
Cl  K  6.354082e+01  4.52e+01  0.001442  
Ar  K  7.924223e+01  5.19e+01  0.0009075  
K  K  4.411015e+02  4.25e+01  0.00238  
Ca  K  1.631084e+05  4.09e+02  0.4562  
Sc  K  1.781464e+02  9.94e+01  0.0002984  
Ti  K  7.816900e+01  3.45e+01  7.77e-05  
V  K  1.996130e+01  2.30e+01  1.231e-05  
Cr  K  9.657646e+01  2.00e+01  3.678e-05  
Mn  K  1.103308e+02  2.18e+01  2.786e-05  
Fe  K  4.887488e+03  7.45e+01  0.0008165  
Co  K  5.223642e+00  2.45e+01  6.218e-07  
Ni  K  1.227523e+00  3.01e+01  1.692e-07  
Cu  K  5.997849e+02  3.27e+01  0.0001103  
Zn  K  3.033323e+02  2.95e+01  4.761e-05  
As  K  1.064556e+02  8.58e+01  3.111e-05  
Rb  K  5.365451e+02  8.36e+01  8.359e-05  
Sr  K  1.144099e+04  1.50e+02  0.001642  
Y  K  6.606821e+02  9.80e+01  8.897e-05  
Zr  K  7.220422e+02  1.13e+02  9.327e-05  
Rh  K  3.502072e+03  4.07e+03  0.0007657  
Rh  L  9.550894e+01  7.37e+01  0.001324  
Pd  K  9.229413e+03  5.97e+02  0.002207  
Pd  L  4.594179e+02  8.55e+01  0.004995  
Sn  K  1.294998e+03  1.13e+02  0.0005525  
Ba  L  8.360589e+01  5.29e+01  9.704e-05  
Au  L  2.589962e+02  6.47e+01  8.252e-05  
Hg  L  1.362220e+03  8.01e+01  0.0004013  
Pb  L  1.606931e+03  1.47e+02  0.0004127  

SOURCE: ISic000309-3t.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.701533e+03  6.51e+01  0.1358  
Cl  K  1.253753e+02  4.61e+01  0.002858  
Ar  K  1.805073e+02  5.25e+01  0.002078  
K  K  5.284818e+02  4.37e+01  0.002865  
Ca  K  1.528842e+05  3.97e+02  0.4297  
Sc  K  3.812579e+02  9.95e+01  0.0006419  
Ti  K  1.873406e+02  3.71e+01  0.0001872  
V  K  9.303741e+01  2.67e+01  5.765e-05  
Cr  K  8.849720e+01  2.16e+01  3.387e-05  
Mn  K  1.881494e+02  2.48e+01  4.775e-05  
Fe  K  7.031356e+03  8.84e+01  0.00118  
Co  K  1.812305e+01  2.84e+01  2.168e-06  
